Name,Country,City,Date In,Date Out,Duration,Price,Avg Price,Company,Include,IncludePrice,Longitude,Latitude,Unnamed: 13,Unnamed: 14
Stanley Wahid Hasym,Indonesia,Jakarta,6/21/2022,6/26/2022,5.0,$177.00 ,$35.40 ,Booking,Yes,Yes,-6.175247,106.8270488,,
Pojoks Homestay,Indonesia ,Yogyakarta,6/26/2022,7/23/2022,27.0,322,$11.93 ,Airbnb,Yes,Yes,-7.9778384,110.3672257,,
Airbnb,Indonesia,Banyuwangi,7/23/2022,7/24/2022,1.0,$15.00 ,$15.00 ,Airbnb,Yes,Yes,-8.2094973,114.3737201,,
Anniques Village Stay,Indonesia,Balian Beach,7/24/2022,7/25/2022,1.0,14,$14.00 ,Airbnb,Yes,Yes,-8.539590981,115.0195253,,
Shankaris Art Sanctuary,Indonesia,Balian Beach,7/25/2022,8/8/2022,14.0,$0.00 ,$0.00 ,Workaway,Yes,No,-8.499718185,114.9685878,,
Ubud Homestay,Indonesia,Ubud,8/8/2022,8/11/2022,3.0,$25.49 ,$8.50 ,Airbnb,Yes,Yes,-8.5068977,115.2622931,,
Lovina ,Indonesia,Lovina,8/11/2022,8/13/2022,2.0,$23.00 ,$11.50 ,Airbnb,Yes,Yes,-8.160911311,115.0242646,,", "
Ahmed Beach,Indonesia ,Amed,8/13/2022,8/15/2022,2.0,$25.49 ,$12.75 ,Booking,Yes,Yes,-8.334584,115.6409359,,
Changu Places,Indonesia,Canggu,8/15/2022,8/17/2022,2.0,$25.68 ,$12.84 ,Airbnb,Yes,Yes,-8.655362,115.125378,,
Ubud Homestay,Indonesia,Ubud,8/17/2022,8/19/2022,2.0,$17.00 ,$8.50 ,Self,Yes,Yes,-8.5068977,115.2622931,,
Lee Lees Apartment,Malaysia,Kuala Lumpur,8/19/2022,8/23/2022,4.0,$71.84 ,$17.96 ,Airbnb,Yes,Yes,3.1516964,101.6942371,,
Oyo KL ,Malaysia,Kuala Lumpur,8/23/2022,8/24/2022,1.0,$15.00 ,$15.00 ,Self,Yes,Yes,3.1516964,101.6942371,,
Airbnb,Malaysia,Kuala Lumpur,8/24/2022,8/28/2022,4.0,$86.80 ,$21.70 ,Airbnb,Yes,Yes,3.1516964,101.6942371,,
Spacepods@hive,Singapore,Singapore,8/28/2022,8/31/2022,3.0,$124.00 ,$41.33 ,Booking,Yes,Yes,1.357107,103.8194992,,
