Name,Country,City,Date In,Date Out,Duration,Price,Avg Price,Company,Include,IncludePrice,Longitude,Latitude,Method,Route,Via
Stanley Wahid Hasym,Indonesia,Jakarta,6/21/2022,6/26/2022,5,$177.00 ,$35.40 ,Booking,Yes,Yes,-6.175247,106.8270488,Train,1,
Pojoks Homestay,Indonesia ,Yogyakarta,6/26/2022,7/23/2022,27,322,$11.93 ,Airbnb,Yes,Yes,-7.9778384,110.3672257,Train,1,
Airbnb,Indonesia,Banyuwangi,7/23/2022,7/24/2022,1,$15.00 ,$15.00 ,Airbnb,Yes,Yes,-8.2094973,114.3737201,Bus,1,
Anniques Village Stay,Indonesia,Balian Beach,7/24/2022,7/25/2022,1,14,$14.00 ,Airbnb,Yes,Yes,-8.539590981,115.0195253,Taxi,1,
Shankaris Art Sanctuary,Indonesia,Balian Beach,7/25/2022,8/8/2022,14,$0.00 ,$0.00 ,Workaway,Yes,No,-8.499718185,114.9685878,Taxi,1,
Ubud Homestay,Indonesia,Ubud,8/8/2022,8/11/2022,3,$25.49 ,$8.50 ,Airbnb,Yes,Yes,-8.5068977,115.2622931,Bike,1,
Lovina ,Indonesia,Lovina,8/11/2022,8/13/2022,2,$23.00 ,$11.50 ,Airbnb,Yes,Yes,-8.160911311,115.0242646,Bike,1,
Ahmed Beach,Indonesia ,Amed,8/13/2022,8/15/2022,2,$25.49 ,$12.75 ,Booking,Yes,Yes,-8.334584,115.6409359,Bike,1,
Changu Places,Indonesia,Canggu,8/15/2022,8/17/2022,2,$25.68 ,$12.84 ,Airbnb,Yes,Yes,-8.655362,115.125378,Bike,1,
Ubud Homestay,Indonesia,Ubud,8/17/2022,8/19/2022,2,$17.00 ,$8.50 ,Self,Yes,Yes,-8.5068977,115.2622931,Flight,1,
Lee Lees Apartment,Malaysia,Kuala Lumpur,8/19/2022,8/23/2022,4,$71.84 ,$17.96 ,Airbnb,Yes,Yes,3.142661644,101.696724,Bus,1,
Oyo KL ,Malaysia,Kuala Lumpur,8/23/2022,8/24/2022,1,$15.00 ,$15.00 ,Self,Yes,Yes,3.1516964,101.6942371,Bus,1,
Airbnb,Malaysia,Kuala Lumpur,8/24/2022,8/28/2022,4,$86.80 ,$21.70 ,Airbnb,Yes,Yes,3.14682029,101.71145,Bus,1,
Spacepods@hive,Singapore,Singapore,8/28/2022,8/31/2022,3,$124.00 ,$41.33 ,Booking,Yes,Yes,1.357107,103.8194992,Flight,1,
HMC 1,Vietnam,Ho Chi Minh City,8/31/2022,9/2/2022,2,$34.32 ,$17.16 ,Airbnb,Yes,Yes,10.77931198,106.7023336,Bus,1,
HMC 2,Vietnam,Ho Chi Minh City,9/2/2022,9/5/2022,3,$34.32 ,$11.44 ,Airbnb,Yes,Yes,10.77931198,106.7023336,Train,1,
Mui Ne (Anyas booking),Vietnam,Mui Ne,9/5/2022,9/8/2022,3,,,Self,Yes,Yes,10.93587353,108.2872475,Train,1,
Annies Homestay,Vietnam,Nha Trang,9/8/2022,9/13/2022,5,$62.40 ,$12.48 ,Airbnb,Yes,Yes,12.2482947,109.1960019,Train,1,
Train,,,9/13/2022,9/14/2022,1,,,Self,No,No,0,0,Flight,1,
Hoian Homestay,Vietnam,Hoi An,9/14/2022,9/17/2022,3,$40.00 ,$13.33 ,Airbnb,Yes,Yes,15.8798137,108.3273939,Bus,1,
Bus,,,9/17/2022,9/18/2022,1,,,Self,No,No,0,0,Flight,1,
Trang Homestay,Vietnam,Hai Phong,9/18/2022,9/19/2022,1,$20 ,$20.00 ,Booking,Yes,Yes,20.858864,106.6749591,Bus,1,
Hmong Sisters,Vietnam,Sapa,9/19/2022,9/21/2022,2,38,$19.00 ,Booking,Yes,Yes,22.3359668,103.8426575,Bus,1,
Ha Giang Loop Hostel,Vietnam,Ha Giang,9/21/2022,9/22/2022,1,0,$0.00 ,Self,Yes,No,22.81695372,104.9803697,Bike,1,
Ha Giang Loop Hotel,Vietnam,Dong Van Ha Giang,9/22/2022,9/23/2022,1,0,$0.00 ,Self,Yes,No,23.27852434,105.3667714,Bike,1,
Ha Giang Loop Village Homestay,Vietnam,Meo Vac Ha Giang,9/23/2022,9/24/2022,1,0,$0.00 ,Self,Yes,No,23.10243704,105.4222815,Bike,1,
Ha Giang Loop Hostel,Vietnam,Ha Giang,9/24/2022,9/25/2022,1,0,$0.00 ,Self,Yes,No,22.81695372,104.9803697,Bus,1,
Hanoi Homestay,Vietnam,Hanoi,9/25/2022,9/29/2022,4,$56.00 ,$14.00 ,Airbnb,Yes,Yes,21.0283207,105.8540217,Bus,1,
Bus,,,9/29/2022,9/30/2022,1,,,Self,No,No,0,0,Flight,1,
Vientiane Homestay,Laos,Vientiane,9/30/2022,10/4/2022,4,$65.00 ,$16.25 ,Airbnb,Yes,Yes,17.9640988,102.6133707,Bus,1,
Vang Vieng Hostel,Laos,Vang Vieng,10/4/2022,10/10/2022,6,51,$8.50 ,Agoda,Yes,Yes,18.9194213,102.4477333,Train,1,
Outback Laos,Laos,Luang Prabang,10/10/2022,10/15/2022,5,$60.50 ,$12.10 ,Booking,Yes,Yes,19.8887438,102.135898,Bus,1,
Nam Ou River Lodge,Laos,Nong Khiaw,10/15/2022,10/16/2022,1,$9.50 ,$9.50 ,Booking,Yes,Yes,20.5723171,102.6090663,Bus,1,
Jungle Trek,Laos,Nong Khiaw,10/16/2022,10/17/2022,1,,,,No,No,0,0,Flight,1,
Nam Ou River Lodge,Laos,Nong Khiaw,10/17/2022,10/19/2022,2,$9.50 ,,Self,Yes,Yes,20.5723171,102.6090663,Bus,1,
Bus,,,10/19/2022,10/20/2022,1,,,,No,No,0,0,Flight,1,
Poshtel,Thailand,Chiang Rai,10/20/2022,10/21/2022,1,$10.00 ,,Self,Yes,Yes,19.7589517,99.6734592,Bus,1,
Makok Art Space,Thailand,Chiang Mai,10/21/2022,10/31/2022,10,$0.00 ,,Workaway,Yes,No,18.68028832,98.88045838,Bus,1,
Bee Bees Homestay,Thailand,Chiang Mai,10/31/2022,11/1/2022,1,$16.55 ,$16.55 ,Airbnb,Yes,Yes,18.7882778,98.9858802,Bike,1,
Tribal Pai Hostel,Thailand ,Pai,11/1/2022,11/4/2022,3,26,$8.67 ,Agoda,Yes,Yes,19.35952354,98.43128768,Bike,1,
Yawning Fields,Thailand,Pai,11/4/2022,11/8/2022,4,$52.00 ,$13.00 ,Booking,Yes,Yes,19.35646251,98.44863262,Bike,1,
CM Apartment,Thailand,Chiang Mai,11/8/2022,11/10/2022,2,$26.12 ,$13.06 ,Airbnb,Yes,Yes,18.7882778,98.9858802,Bike,1,
Sandee Place,Thailand,Doi Inthanon,11/10/2022,11/12/2022,2,36,$18.00 ,Agoda,Yes,Yes,18.5884834,98.4874637,Bike,1,
Pa Pae Meditation Retreat,Thailand,Pa Pae,11/12/2022,11/14/2022,2,,,,Yes,No,19.11685654,98.71102821,Bike,1,
Bee Bees Homestay,Thailand,Chiang Mai,11/14/2022,11/16/2022,2,38.87,$19.44 ,Airbnb,Yes,Yes,18.7882778,98.9858802,Train,1,
U-Thong Hotel,Thailand,Phitsanulok,11/16/2022,11/18/2022,2,29,$14.50 ,Agoda,Yes,Yes,16.9779975,100.3848239,Train,1,
Baan Are Gong Riverside Homestay,Thailand,Ayutthaya,11/18/2022,11/19/2022,1,$16.25 ,$16.25 ,Booking,Yes,Yes,14.3189468,100.5111681,Train,1,
